start,low,high,open,close,volume,fibonacciretracement_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-12 00:15:00,3.3719,3.4,3.3884,3.3736,168475.9,0,0,,,,,,,,,,0
2025-06-12 00:30:00,3.3591,3.38,3.3737,3.3798,93708.7,0,0,,,,,,,,,,0
2025-06-12 00:45:00,3.3787,3.3904,3.3797,3.3852,94153.3,0,1,,,,,,,,,,0
2025-06-12 01:00:00,3.3667,3.3852,3.3849,3.3724,94276.7,0,0,,,,,,,,,,0
2025-06-12 01:15:00,3.3616,3.3812,3.3715,3.3633,43361.7,0,-1,,,,,,,,,,0
2025-06-12 01:30:00,3.3506,3.3684,3.3636,3.3676,180787.4,0,1,,,,,,,,,,0
2025-06-12 01:45:00,3.3547,3.3692,3.3684,3.3666,96976.6,0,0,,,,,,,,,,0
2025-06-12 02:00:00,3.3633,3.3794,3.3663,3.3645,61714.3,0,0,,,,,,,,,,0
2025-06-12 02:15:00,3.3491,3.3662,3.3646,3.3558,80834.1,0,0,,,,,,,,,,0
2025-06-12 02:30:00,3.3474,3.358,3.3555,3.3507,57415.1,0,0,,,,,,,,,,0
2025-06-12 02:45:00,3.3483,3.3584,3.3514,3.3486,46472.0,0,-1,,,,,,,,,,0
2025-06-12 03:00:00,3.3451,3.356,3.3498,3.3495,27725.4,0,1,,,,,,,,,,0
2025-06-12 03:15:00,3.3223,3.3513,3.3498,3.3289,196269.2,0,-1,,,,,,,,,,0
2025-06-12 03:30:00,3.3243,3.3443,3.3291,3.3443,97303.8,0,1,,,,,,,,,,0
2025-06-12 03:45:00,3.3335,3.3492,3.3444,3.3366,367811.1,0,0,,,,,,,,,,0
2025-06-12 04:00:00,3.3271,3.3405,3.336,3.328,169390.1,0,-1,,,,,,,,,,0
2025-06-12 04:15:00,3.3236,3.3381,3.3284,3.3316,423565.2,0,1,,,,,,,,,,0
